Term;freq
Allograft rejection_Homo sapiens_hsa05330;1
Autoimmune thyroid disease_Homo sapiens_hsa05320;1
Bladder cancer_Homo sapiens_hsa05219;1
Cell adhesion molecules (CAMs)_Homo sapiens_hsa04514;1
Endocytosis_Homo sapiens_hsa04144;1
Graft-versus-host disease_Homo sapiens_hsa05332;1
Hepatitis C_Homo sapiens_hsa05160;1
Rap1 signaling pathway_Homo sapiens_hsa04015;1
Systemic lupus erythematosus_Homo sapiens_hsa05322;1
Amoebiasis_Homo sapiens_hsa05146;1
cAMP signaling pathway_Homo sapiens_hsa04024;1
Fc gamma R-mediated phagocytosis_Homo sapiens_hsa04666;1
Malaria_Homo sapiens_hsa05144;1
Progesterone-mediated oocyte maturation_Homo sapiens_hsa04914;1
Salmonella infection_Homo sapiens_hsa05132;1
Thyroid hormone signaling pathway_Homo sapiens_hsa04919;1
MAPK signaling pathway_Homo sapiens_hsa04010;2
Sphingolipid signaling pathway_Homo sapiens_hsa04071;2
Viral myocarditis_Homo sapiens_hsa05416;2
Fc epsilon RI signaling pathway_Homo sapiens_hsa04664;2
Influenza A_Homo sapiens_hsa05164;2
Legionellosis_Homo sapiens_hsa05134;2
Longevity regulating pathway - mammal_Homo sapiens_hsa04211;2
Non-alcoholic fatty liver disease (NAFLD)_Homo sapiens_hsa04932;2
Pertussis_Homo sapiens_hsa05133;2
Primary immunodeficiency_Homo sapiens_hsa05340;2
Renal cell carcinoma_Homo sapiens_hsa05211;2
Acute myeloid leukemia_Homo sapiens_hsa05221;3
AGE-RAGE signaling pathway in diabetic complications_Homo sapiens_hsa04933;3
Apoptosis_Homo sapiens_hsa04210;3
B cell receptor signaling pathway_Homo sapiens_hsa04662;3
Cell cycle_Homo sapiens_hsa04110;3
Central carbon metabolism in cancer_Homo sapiens_hsa05230;3
Chagas disease (American trypanosomiasis)_Homo sapiens_hsa05142;3
Chemokine signaling pathway_Homo sapiens_hsa04062;3
Chronic myeloid leukemia_Homo sapiens_hsa05220;3
Colorectal cancer_Homo sapiens_hsa05210;3
Cytokine-cytokine receptor interaction_Homo sapiens_hsa04060;3
Endometrial cancer_Homo sapiens_hsa05213;3
Epstein-Barr virus infection_Homo sapiens_hsa05169;3
ErbB signaling pathway_Homo sapiens_hsa04012;3
Focal adhesion_Homo sapiens_hsa04510;3
FoxO signaling pathway_Homo sapiens_hsa04068;3
Glioma_Homo sapiens_hsa05214;3
Hematopoietic cell lineage_Homo sapiens_hsa04640;3
Hepatitis B_Homo sapiens_hsa05161;3
Herpes simplex infection_Homo sapiens_hsa05168;3
HIF-1 signaling pathway_Homo sapiens_hsa04066;3
HTLV-I infection_Homo sapiens_hsa05166;3
Inflammatory bowel disease (IBD)_Homo sapiens_hsa05321;3
Intestinal immune network for IgA production_Homo sapiens_hsa04672;3
Jak-STAT signaling pathway_Homo sapiens_hsa04630;3
Leishmaniasis_Homo sapiens_hsa05140;3
Measles_Homo sapiens_hsa05162;3
Melanoma_Homo sapiens_hsa05218;3
MicroRNAs in cancer_Homo sapiens_hsa05206;3
Natural killer cell mediated cytotoxicity_Homo sapiens_hsa04650;3
Neurotrophin signaling pathway_Homo sapiens_hsa04722;3
NF-kappa B signaling pathway_Homo sapiens_hsa04064;3
Non-small cell lung cancer_Homo sapiens_hsa05223;3
Osteoclast differentiation_Homo sapiens_hsa04380;3
p53 signaling pathway_Homo sapiens_hsa04115;3
Pancreatic cancer_Homo sapiens_hsa05212;3
Pathways in cancer_Homo sapiens_hsa05200;3
PI3K-Akt signaling pathway_Homo sapiens_hsa04151;3
Prolactin signaling pathway_Homo sapiens_hsa04917;3
Prostate cancer_Homo sapiens_hsa05215;3
Proteoglycans in cancer_Homo sapiens_hsa05205;3
Ras signaling pathway_Homo sapiens_hsa04014;3
Rheumatoid arthritis_Homo sapiens_hsa05323;3
Signaling pathways regulating pluripotency of stem cells_Homo sapiens_hsa04550;3
Small cell lung cancer_Homo sapiens_hsa05222;3
T cell receptor signaling pathway_Homo sapiens_hsa04660;3
TNF signaling pathway_Homo sapiens_hsa04668;3
Toll-like receptor signaling pathway_Homo sapiens_hsa04620;3
Toxoplasmosis_Homo sapiens_hsa05145;3
Transcriptional misregulation in cancer_Homo sapiens_hsa05202;3
Tuberculosis_Homo sapiens_hsa05152;3
Viral carcinogenesis_Homo sapiens_hsa05203;3
Wnt signaling pathway_Homo sapiens_hsa04310;3
